Height (km),Charge Density (normalized)
0.0,-1.0
0.10020040080160321,-0.8822758639125928
0.20040080160320642,-0.778410700042712
0.30060120240480964,-0.6867729728589899
0.40080160320641284,-0.6059232179409849
0.5010020040080161,-0.5345914305735807
0.6012024048096193,-0.4716571162495748
0.7014028056112225,-0.4161316897096158
0.8016032064128257,-0.36714294603995834
0.9018036072144289,-0.3239213598968187
1.0020040080160322,-0.28578799764270757
1.1022044088176353,-0.25214385251606986
1.2024048096192386,-0.22246043530886492
1.3026052104208417,-0.19627147274850026
1.402805611222445,-0.17316558318057995
1.503006012024048,-0.15277981450057418
1.6032064128256514,-0.13479394282689977
1.7034068136272547,-0.1189254423577876
1.8036072144288577,-0.10492504739740434
1.903807615230461,-0.09257283683861464
2.0040080160320644,-0.49949924891518566
2.1042084168336674,-0.48714216198636784
2.2044088176352705,-0.4750907764128533
2.3046092184368736,-0.46333752946410756
2.404809619238477,-0.4518750455036084
2.50501002004008,-0.44069613136033664
2.6052104208416833,-0.4297937718147709
2.705410821643287,-0.4191611251965546
2.80561122244489,-0.4087915190910719
2.905811623246493,-0.3986784461522383
3.006012024048096,-0.3888155600188785
3.1062124248496996,-0.37919667133212875
3.2064128256513027,-0.3698157438513647
3.306613226452906,-0.3606668906662167
3.4068136272545093,-0.3517443705022961
3.5070140280561124,-0.34304258411831456
3.6072144288577155,-0.3345560707923334
3.7074148296593186,-0.3262795048949409
3.807615230460922,-0.31820769254720493
3.907815631262525,-0.3103355683613045
4.008016032064129,-0.30265819226179425
4.108216432865731,-0.2951707463855085
4.208416833667335,-0.287868532058157
4.308617234468938,-0.2807469668457179
4.408817635270541,-0.27380158167877544
4.509018036072145,-0.26702801804799814
4.609218436873747,-0.2604220252689994
4.709418837675351,-0.2539794578148604
4.809619238476954,-0.24769627271464587
4.909819639278557,-0.24156852701627596
5.01002004008016,-0.235592375312165
5.110220440881764,-0.22976406732607346
5.210420841683367,-0.2240799455596579
5.31062124248497,-0.21853644299724337
5.410821643286574,-0.2131300808673773
5.511022044088176,-0.2078574664597602
5.61122244488978,-0.2027152909961826
5.711422845691383,-0.1977003275541339
5.811623246492986,-0.19280942904177797
5.9118236472945895,-0.1880395262230261
6.012024048096192,-0.18338762579146772
6.112224448897796,-0.17885080849194968
6.212424849699399,-0.17442622728862606
6.312625250501002,-0.17011110557832843
6.412825651302605,-0.165902735448135
6.513026052104209,-0.16179847597604644
6.613226452905812,-0.15779575157370057
6.713426853707415,-0.15389205037008682
6.813627254509019,-0.15008492263524598
6.913827655310621,-0.14637197924296563
7.014028056112225,-0.14275089017150724
7.114228456913827,-0.13921938304142356
7.214428857715431,-0.1357752416895486
7.3146292585170345,-0.1324163047782663
7.414829659318637,-0.12914046443918362
7.515030060120241,-0.12594566495035822
7.615230460921844,-0.12282990144625013
7.715430861723447,-0.11979121865958761
7.81563126252505,-0.1168277096943581
7.915831663326654,-0.11393751482915418
8.016032064128257,-0.11111882035012324
8.11623246492986,-0.10836985741278896
8.216432865731463,-0.10568890093202996
8.316633266533067,-0.10307426849951937
8.41683366733467,-0.10052431932794587
8.517034068136272,-0.09803745322135321
8.617234468937877,-0.09561210957095287
8.71743486973948,-0.09324676637577915
